model,model_type,item_id,task,layer,route_family,subspace_dim,budget_mode,eps,rho,rank,entropy,varentropy,confidence,margin,jacobian_norm,projected_gradient_norm,fisher_output_energy,unit_fisher_output_energy,applied_fisher_energy,uncertainty_movement,varentropy_movement,delta_entropy,drift,top1_preserved,topk_jaccard,safe_movement,base_confidence,max_uncertainty_movement,max_safe_movement,safe_movement_target,minimal_energy,minimal_eps
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,random,1,same_fisher_output_energy,0.01,0.22260099751664825,1,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.0009470147339627723,1.0,0.0001,0.004838005125960332,0.002085487894939675,0.004838005125960332,1.4345035264840468e-05,1,1.0,0,0.46125296182639597,0.20375347136235822,0.012377506990194465,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,random,2,same_epsilon,0.01,0.7567661597236433,2,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,8.696999746371236e-05,8.696999746371236e-05,8.696999746371236e-09,0.0002891194253051843,9.32145293012221e-05,-0.0002891194253051843,6.189075604486323e-08,1,1.0,0,0.46125296182639597,0.001429945523708398,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,random,2,same_fisher_output_energy,0.01,0.7567661597236433,2,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,8.696999746371236e-05,1.0,0.0001,0.006115019438859004,0.008801540123325235,0.006115019438859004,1.7088370675606647e-05,1,1.0,0,0.46125296182639597,0.9283233850521596,0.022894952479369346,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,random,4,same_epsilon,0.01,0.982679730703201,4,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.004207107412855697,0.004207107412855697,4.2071074128556975e-07,0.0003378560303601841,0.00018297517266696595,-0.0003378560303601841,5.612561851662482e-08,1,1.0,0,0.46125296182639597,0.00963196422319762,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,random,4,same_fisher_output_energy,0.01,0.982679730703201,4,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.004207107412855697,1.0,0.0001,0.009611366490150264,0.004529587106614108,-0.009611366490150264,1.5708929956700997e-05,1,1.0,0,0.46125296182639597,0.12631127695506245,0.021435608447269716,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,state_pca,1,same_epsilon,0.01,0.4027364170170889,1,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.0005879086907160813,0.0005879086907160813,5.879086907160813e-08,0.00028173375138729195,5.290275391511834e-05,-0.00028173375138729195,6.188243209551652e-08,1,1.0,0,0.46125296182639597,0.002204492075403963,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,state_pca,1,same_fisher_output_energy,0.01,0.4027364170170889,1,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.0005879086907160813,1.0,0.0001,0.005874158371470484,0.015125936523914585,0.005874158371470484,1.3662596982208736e-05,1,1.0,0,0.46125296182639597,0.3249625716600376,0.016747741532711746,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,state_pca,2,same_epsilon,0.01,0.776475406329175,2,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.003037607715452053,0.003037607715452053,3.037607715452053e-07,8.376846729030163e-05,0.00028845441400782157,8.376846729030163e-05,7.4191762927424464e-09,1,1.0,0,0.46125296182639597,0.007973747078716342,0.0,0,,
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,state_pca,2,same_fisher_output_energy,0.01,0.776475406329175,2,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.003037607715452053,1.0,0.0001,0.007825797938371237,0.004500091873120837,-0.007825797938371237,1.2242982560952613e-05,1,1.0,0,0.46125296182639597,0.10520067908328173,0.018610215552567755,1,0.0006250000000000001,0.025
Qwen/Qwen2.5-0.5B,decoder,0,masked_factual_cloze,12,state_pca,4,same_epsilon,0.01,0.9952489165442605,4,0.39638036189716586,0.8711963470280053,0.9035260739158327,0.841072093736015,17.035561829344903,151.1415635845453,0.0006198884530760441,0.0006198884530760441,6.198884530760442e-08,8.445341202212298e-05,0.00029314764781640523,8.445341202212298e-05,7.46331904711659e-09,1,1.0,0,0.46125296182639597,0.00369467334930762,0.0,0,,
