subspace,k,layer,observed_condition,n,rho_structured_mean,rho_random_mean,rho_adjusted_mean,rho_adjusted_median,rho_adjusted_z_mean,trace_fim_structured_mean
delta_pca,32,2,error,137,0.9999999999999988,0.9999999999999917,7.02925147123986e-15,3.3306690738754696e-16,0.0025386404239179463,1.0840533685102618
delta_pca,32,3,correct,183,0.9999999999999976,0.9999999999999964,1.013761024124938e-15,1.1102230246251565e-16,0.0004285831831154479,0.892392242950267
delta_pca,32,3,error,137,0.9999999999999977,0.9999999999999988,-1.1572251672735207e-15,1.1102230246251565e-16,-0.0011650285850609465,0.8089181278571205
delta_pca,32,4,correct,183,0.9999999999999983,0.9999999999999986,-2.705789447993551e-16,1.1102230246251565e-16,-0.0003143743841216534,0.5744754681812559
delta_pca,32,4,error,137,0.9999999999999992,0.9999999999999959,3.223698680261951e-15,3.3306690738754696e-16,0.0023706339728619148,0.5318971991651823
delta_pca,32,5,correct,183,0.9999999999999988,0.9999999999999957,3.2135799789286634e-15,3.3306690738754696e-16,0.0014525155785706989,0.3698917290606103
delta_pca,32,5,error,137,0.9999999999999993,0.9999999999999977,1.7253027879028892e-15,3.3306690738754696e-16,0.001525762186202793,0.48564570780899935
state_pca,1,0,correct,183,0.03671057814866486,0.06123956283268803,-0.02452898468402317,-0.04686126677210688,-0.37984033936917455,0.08842549176551907
state_pca,1,0,error,137,0.0689296362240949,0.06476838072878552,0.004161255495309374,-0.04686126677210688,0.0014377673331848315,0.0826889476479842
state_pca,1,1,correct,183,0.11314367805421288,0.09243086576397222,0.020712812290240662,0.014144030029316048,0.27360206801784576,0.10939601703509061
state_pca,1,1,error,137,0.07435694784209333,0.06900786442585599,0.005349083416237333,-0.0176609957423512,0.015273619025325653,0.09260094148258034
state_pca,1,2,correct,183,0.13688968577536734,0.08918988788826723,0.04769979788710011,0.06241719660490348,0.7649427962495489,0.04004320486843704
state_pca,1,2,error,137,0.11334110865535063,0.09705854948990399,0.016282559165446638,-0.02063513136688283,0.20271016034741027,0.0415554502213884
state_pca,1,3,correct,183,0.1352477921737355,0.10295983280571624,0.03228795936801927,-0.004425179524551903,0.35629916115024857,0.03149862191098599
state_pca,1,3,error,137,0.13183625861225967,0.1009555479158597,0.030880710696399968,-0.008018814355539805,0.1751291527692985,0.02963894301334855
state_pca,1,4,correct,183,0.11292761458746585,0.08097573545044663,0.03195187913701921,-0.018064156727864614,0.0339756814117349,0.017543204690687902
state_pca,1,4,error,137,0.10528359389652675,0.09550355522757768,0.009780038668949073,-0.020942777378246347,0.3237656150386705,0.020683712322698118
state_pca,1,5,correct,183,0.26039448187315817,0.15069170472769342,0.10970277714546475,0.07384535670017524,0.7547538294862227,0.009977356645278053
state_pca,1,5,error,137,0.08313276201943796,0.10401183517793595,-0.020879073158497987,-0.03338386442984396,-0.12484063162167007,0.013313220615888702
state_pca,1,6,correct,183,0.17437489785066174,0.2638798734244434,-0.08950497557378168,-0.10872060825721627,-0.3230902557032696,0.01805721998327038
state_pca,1,6,error,137,0.11298393511919472,0.11896731610638221,-0.005983380987187478,-0.02859684580023749,0.051043758986262,0.04590227034905311
state_pca,2,0,correct,183,0.15932203486940547,0.1147598313923297,0.044562203477075756,-0.04187681827516122,0.503652654866566,0.17994961437115767
state_pca,2,0,error,137,0.19809103880219112,0.12034011605967496,0.07775092274251617,0.2073571885996939,0.9549739479399905,0.17211596782090194
state_pca,2,1,correct,183,0.1715145711283505,0.16085793120492578,0.010656639923424685,-0.0036151207295093135,0.16334228999254757,0.14969255492884068
state_pca,2,1,error,137,0.11288441885729328,0.12974976806230018,-0.01686534920500692,-0.03599185058961843,-0.20520098834080586,0.13220993165132341
state_pca,2,2,correct,183,0.23627281244256945,0.21370461771651975,0.02256819472604972,0.03097528202823327,0.2268560880864192,0.0648784414988443
state_pca,2,2,error,137,0.20097402875175768,0.17972921813803672,0.02124481061372093,0.00875837336501041,0.17482908286811802,0.06482954211991197
state_pca,2,3,correct,183,0.24327935864523473,0.20597960081116376,0.03729975783407101,-0.00431753182976341,0.23827512364151263,0.07037496624419297
state_pca,2,3,error,137,0.22556121181377287,0.18014536864432007,0.04541584316945278,0.001565761422415976,0.2701360029157714,0.05830020926699047
state_pca,2,4,correct,183,0.16270734027274728,0.1585008071773051,0.0042065330954421404,-0.0352103100674329,-0.12229747598804225,0.03387493775910633
state_pca,2,4,error,137,0.19676296232855905,0.18129371390583238,0.015469248422726659,0.006069150263151968,0.16718463303849712,0.04145500140251695
state_pca,2,5,correct,183,0.4009066857730668,0.2899451412906763,0.11096154448239054,0.11645979469794773,0.7446416754218906,0.02738423248275517
state_pca,2,5,error,137,0.18190303824788956,0.19195959838466392,-0.01005656013677438,-0.017303726818581805,-0.04635365892928083,0.033707076201301735
