model,prompt_id,task,topic,observed_condition,layer,subspace_family,k,rep,rank_whitened_jb,rho,v_access,v_inaccess,entropy_before,varentropy_before,semantic_entropy_proxy_before,trace_fim,grad_norm_sq,logit_norm,strict_orth_ls_norm,accessible_ls_norm
bert-base-uncased,9,ambiguous_open,polysemy,ambiguous,4,random,8,1,8,0.7723856390845979,0.46845787532290917,0.13804987367940016,2.1542564468352574,0.6065077490023086,1.304787272049328,0.14412446930381112,0.0036930275549036324,25.206899716010838,8.123047497008879e-15,11.549516584760623
bert-base-uncased,10,factual_deep,currency,correct,4,state_pca,1,0,1,0.6437007791481464,0.46479498123079516,0.25727184902205996,2.176504615992417,0.7220668302528565,1.2792352284190092,0.04667951981203395,0.021696406534896812,23.010466652507137,3.885780586188048e-16,3.155495208592197
bert-base-uncased,10,factual_deep,currency,correct,4,delta_pca,1,0,1,0.3605382759927937,0.26033273013094554,0.46173410012190935,2.176504615992417,0.7220668302528565,1.2792352284190092,0.035090493762089094,0.009135204042727564,23.010466652507137,7.424616477180734e-16,2.723765074330835
bert-base-uncased,10,factual_deep,currency,correct,4,random,1,0,1,0.42178615133668085,0.30455778934022815,0.41750904091262697,2.176504615992417,0.7220668302528565,1.2792352284190092,0.013214390377941318,0.004024545520984582,23.010466652507137,4.787836793695988e-16,4.800774306669289
bert-base-uncased,10,factual_deep,currency,correct,4,random,1,1,1,0.04619475230848417,0.03335569837370292,0.6887111318791522,2.176504615992417,0.7220668302528565,1.2792352284190092,0.01388874447717266,0.000463268771570002,23.010466652507137,7.771561172376096e-16,1.5497210246537831
bert-base-uncased,10,factual_deep,currency,correct,4,state_pca,4,0,4,0.790284867359688,0.5706384891712079,0.15142834108164677,2.176504615992417,0.7220668302528565,1.2792352284190092,0.1005550733015741,0.03372612289381053,23.010466652507137,2.0844418808250815e-15,3.5190064788161703
bert-base-uncased,10,factual_deep,currency,correct,4,delta_pca,4,0,4,0.6535974162113117,0.47194101458515786,0.2501258156676977,2.176504615992417,0.7220668302528565,1.2792352284190092,0.12258959484943607,0.03471350737788375,23.010466652507137,2.073510551661135e-15,3.096176447736858
bert-base-uncased,10,factual_deep,currency,correct,4,random,4,0,4,0.6950374445558373,0.5018634844974779,0.22020334575537565,2.176504615992417,0.7220668302528565,1.2792352284190092,0.05669405992415867,0.009686929349661326,23.010466652507137,1.1016970810492288e-14,5.247289799142159
bert-base-uncased,10,factual_deep,currency,correct,4,random,4,1,4,0.5717349423381358,0.41283083755889655,0.309235992693959,2.176504615992417,0.7220668302528565,1.2792352284190092,0.061111196958263864,0.009753230785223332,23.010466652507137,4.254487041856985e-15,7.205546787179261
bert-base-uncased,10,factual_deep,currency,correct,4,state_pca,8,0,8,0.8984844087097156,0.648765789028635,0.07330104122421902,2.176504615992417,0.7220668302528565,1.2792352284190092,0.15447053853108264,0.037832842136037236,23.010466652507137,4.489587688415044e-15,6.932332951509707
bert-base-uncased,10,factual_deep,currency,correct,4,delta_pca,8,0,8,0.8844239132686141,0.6386131716536941,0.08345365859916254,2.176504615992417,0.7220668302528565,1.2792352284190092,0.19081910345211217,0.04669707905745662,23.010466652507137,5.023011570407238e-15,8.76244108731109
bert-base-uncased,10,factual_deep,currency,correct,4,random,8,0,8,0.901811454013107,0.6511681380849625,0.07089869216789306,2.176504615992417,0.7220668302528565,1.2792352284190092,0.12885055723740957,0.02283697955644475,23.010466652507137,8.37850679422873e-15,8.517499271359084
bert-base-uncased,10,factual_deep,currency,correct,4,random,8,1,8,0.9314006199259443,0.6725334933254707,0.04953333692738484,2.176504615992417,0.7220668302528565,1.2792352284190092,0.08156039515431039,0.013283737099835735,23.010466652507137,1.171703687459726e-14,10.765137022795702
bert-base-uncased,11,factual_simple,math,error,4,state_pca,1,0,1,0.5732149993706309,0.4241306185573088,0.3157848041427057,2.090158102236348,0.7399154227000128,1.027311538449697,0.03399432499231675,0.014418034086429471,20.47754962706817,1.5543122344752192e-15,3.5322107011184345
bert-base-uncased,11,factual_simple,math,error,4,delta_pca,1,0,1,0.574776016719939,0.4252856393691642,0.31462978333085,2.090158102236348,0.7399154227000128,1.027311538449697,0.025146110775345096,0.010694279798740464,20.47754962706817,3.885780586188048e-16,4.112490870616772
bert-base-uncased,11,factual_simple,math,error,4,random,1,0,1,0.0029713383090297445,0.002198539040910489,0.7377168836591038,2.090158102236348,0.7399154227000128,1.027311538449697,0.02220314670636653,4.88144848650101e-05,20.47754962706817,2.498001805406602e-16,0.31467325083709974
bert-base-uncased,11,factual_simple,math,error,4,random,1,1,1,0.20014786752594804,0.1480924940029683,0.5918229286970457,2.090158102236348,0.7399154227000128,1.027311538449697,0.026031001150368677,0.0038549958817522432,20.47754962706817,9.922618282587337e-16,2.3851796088125203
bert-base-uncased,11,factual_simple,math,error,4,state_pca,4,0,4,0.8974677787520189,0.664050250874943,0.07586517182507185,2.090158102236348,0.7399154227000128,1.027311538449697,0.10814563083834863,0.02343774356429438,20.47754962706817,3.771695764668974e-15,4.729892962071391
bert-base-uncased,11,factual_simple,math,error,4,delta_pca,4,0,4,0.6980012271810846,0.5164618730548209,0.22345354964519284,2.090158102236348,0.7399154227000128,1.027311538449697,0.11848230815927661,0.02516857472613559,20.47754962706817,1.88411095042053e-15,3.446386596002746
bert-base-uncased,11,factual_simple,math,error,4,random,4,0,4,0.6445079528755664,0.4768813743854456,0.2630340483145689,2.090158102236348,0.7399154227000128,1.027311538449697,0.09014794482432253,0.012805553839743994,20.47754962706817,2.793954053056411e-15,5.692740396004892
bert-base-uncased,11,factual_simple,math,error,4,random,4,1,4,0.8582034454097293,0.6349979650729485,0.10491745762706668,2.090158102236348,0.7399154227000128,1.027311538449697,0.12024436908947547,0.025442440097515607,20.47754962706817,3.6447625964396365e-15,4.302014240281343
