model,prompt_id,task,topic,observed_condition,layer,subspace_family,subspace_k,rep,top_k_output,rank_whitened_jb,rho,v_access,v_inaccess,entropy,varentropy,confidence,margin,trace_fim,jacobian_fro_norm,fisher_output_fro_norm,grad_entropy_proj_norm,grad_varentropy_proj_norm,logit_norm
distilbert-base-uncased,4,factual_deep,role,error,2,random,8,0,256,8,0.2236029087704704,0.2010801361090262,0.6981932106229525,5.219891063378381,0.8992733467319821,0.0497192719161502,0.3905601501464844,0.2664557677455215,9.342965747387996,0.5161935371016587,0.0998229454918936,0.3362007739181058,90.55486740808398
distilbert-base-uncased,5,factual_simple,capital,correct,2,state_pca,8,0,16,8,0.809330653299546,0.1833842848680241,0.0432033083738582,2.6738519653159494,0.2265875932418818,0.1688713691480158,0.6379165649414062,0.2749802605137763,2.746544564698667,0.5243856028856783,0.1176581417726779,0.3040175385974579,30.167300900311947
distilbert-base-uncased,5,factual_simple,capital,correct,2,delta_pca,8,0,16,8,0.6044176159243848,0.1369535329053025,0.0896340603365796,2.6738519653159494,0.2265875932418818,0.1688713691480158,0.6379165649414062,0.3224081432974335,2.85132131501294,0.5678099535033121,0.1104444689346079,0.2957967740116523,30.167300900311947
distilbert-base-uncased,5,factual_simple,capital,correct,2,random,8,0,16,8,0.5908884260296888,0.133887986328551,0.0926996069133311,2.6738519653159494,0.2265875932418818,0.1688713691480158,0.6379165649414062,0.2789326643093873,2.6710099230159834,0.5281407618328539,0.11678515599978,0.3001316529891263,30.167300900311947
distilbert-base-uncased,5,factual_simple,capital,correct,2,state_pca,8,0,32,8,0.4406969585373648,0.1460503838675699,0.1853573579791146,3.3192712534386213,0.3314077418466846,0.1163655900614539,0.6379165649414062,0.2892399622216984,3.9367655908546615,0.5378103403819031,0.0872340943756478,0.268803725862235,40.63747218532884
distilbert-base-uncased,5,factual_simple,capital,correct,2,delta_pca,8,0,32,8,0.4457748960800409,0.1477332516818267,0.1836744901648578,3.3192712534386213,0.3314077418466846,0.1163655900614539,0.6379165649414062,0.3387369752220414,3.897867911493921,0.582011146991225,0.1154631396482041,0.3148770499724043,40.63747218532884
distilbert-base-uncased,5,factual_simple,capital,correct,2,random,8,0,32,8,0.3124263499157692,0.1035405111189871,0.2278672307276971,3.3192712534386213,0.3314077418466846,0.1163655900614539,0.6379165649414062,0.2835498967734537,3.61332874777336,0.5324940344956494,0.0871789937603895,0.2573987133388732,40.63747218532884
distilbert-base-uncased,5,factual_simple,capital,correct,2,state_pca,8,0,64,8,0.3606179755688012,0.1784842439617266,0.3164557092677377,3.9429417047554094,0.4949399532294646,0.0847055372319165,0.6379165649414062,0.3465488640384041,5.639223681340536,0.5886840103471506,0.0941805232105691,0.275676800841422,54.07844474891192
distilbert-base-uncased,5,factual_simple,capital,correct,2,delta_pca,8,0,64,8,0.3769827795484076,0.1865838392780024,0.3083561139514619,3.9429417047554094,0.4949399532294646,0.0847055372319165,0.6379165649414062,0.3559248660653691,5.502702346057218,0.5965943899043714,0.1202165025036825,0.3341631501891998,54.07844474891192
distilbert-base-uncased,5,factual_simple,capital,correct,2,random,8,0,64,8,0.2793049669646297,0.1382391872862309,0.3567007659432336,3.9429417047554094,0.4949399532294646,0.0847055372319165,0.6379165649414062,0.2882720766152551,4.986237523866207,0.5369097471784761,0.0737109052455858,0.2264672856790067,54.07844474891192
distilbert-base-uncased,5,factual_simple,capital,correct,2,state_pca,8,0,128,8,0.3126522985126765,0.2092402826941637,0.4600024629678517,4.5722563598851504,0.6692427456620151,0.062540702608919,0.6379165649414062,0.3453797583538503,7.487666588091399,0.5876901890910298,0.1127720804486379,0.3134409504129741,71.65887233738133
distilbert-base-uncased,5,factual_simple,capital,correct,2,delta_pca,8,0,128,8,0.3198837696662825,0.2140798923041786,0.4551628533578367,4.5722563598851504,0.6692427456620151,0.062540702608919,0.6379165649414062,0.345576561828229,7.420750213431042,0.5878576033600561,0.1169015590482906,0.3439563550853666,71.65887233738133
distilbert-base-uncased,5,factual_simple,capital,correct,2,random,8,0,128,8,0.1781572699577061,0.1192304605061441,0.5500122851558714,4.5722563598851504,0.6692427456620151,0.062540702608919,0.6379165649414062,0.2976406578711585,7.080193228880731,0.5455645313536782,0.0697592332350075,0.2224837721354399,71.65887233738133
