split,budget,contrast,metric,policy,control,delta_policy_minus_control,ci_low,median,ci_high
grouped_example_5fold,0.3,rho_only_vs_random,safe_movement_rate,0.16740424170978874,0.1196100038211552,0.04779423788863353,0.03310540332901752,0.048813369491355445,0.06591270788795707
grouped_example_5fold,0.3,rho_only_vs_random,movement_per_drift,18.753109565837782,20.20793431455159,-1.4548247487138077,-8.595198731277753,-4.788519171232703,5.3172321441730235
grouped_example_5fold,0.3,rho_only_vs_random,regret_vs_oracle,0.23305294916368488,0.2808471870523184,-0.047794237888633545,-0.0652921821967459,-0.04873902899391555,-0.033222053551660954
grouped_example_5fold,0.3,rho_only_vs_random,topk_preservation,0.93881387723962,0.9531073452093581,-0.014293467969738183,-0.02834510702662765,-0.013165570315987474,-0.0008910015867766215
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,safe_movement_rate,0.16740424170978874,0.07177720552538826,0.09562703618440048,0.07393888953429444,0.09493312556588372,0.11661729580672674
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,movement_per_drift,18.753109565837782,19.41543826008145,-0.6623286942436692,-10.887783904343358,-5.39010408763962,7.9494951599817005
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,regret_vs_oracle,0.23305294916368488,0.3286799853480854,-0.09562703618440052,-0.11696873704178788,-0.09501251179157491,-0.07282941655186952
grouped_example_5fold,0.3,rho_only_vs_highest_entropy,topk_preservation,0.93881387723962,0.9740474993318123,-0.035233622092192385,-0.055023576644172255,-0.033905341065670336,-0.013309364077873519
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,safe_movement_rate,0.16740424170978874,0.1289368835516224,0.03846735815816635,0.01821006686307791,0.038399943455772884,0.05689502072256267
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,movement_per_drift,18.753109565837782,22.138596447403263,-3.3854868815654804,-11.463237450952153,-3.970740589706046,1.0462497326847384
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,regret_vs_oracle,0.23305294916368488,0.27152030732185123,-0.03846735815816635,-0.0590340530585646,-0.03777821801896763,-0.019157077123129942
grouped_example_5fold,0.3,rho_only_vs_highest_fisher_output_energy,topk_preservation,0.93881387723962,0.9623316693377918,-0.02351779209817184,-0.03893608362999222,-0.0210125418082569,-0.0024552547214040476
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,safe_movement_rate,0.20218579234972678,0.1721311475409836,0.030054644808743175,0.0003074503930510335,0.029264329176760556,0.06600590734620634
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,movement_per_drift,19.506508250278973,18.369094368871423,1.13741388140755,-0.7563502941767579,0.37399475466185184,3.354479492567659
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,regret_vs_oracle,0.7978142076502732,0.8278688524590164,-0.030054644808743203,-0.06806642323492021,-0.029926556941644783,0.0007876110071541405
leave_one_model_out,0.05,controls_plus_rho_learned_vs_controls_only_learned,topk_preservation,0.8715846994535519,0.8707650273224044,0.0008196721311475308,-0.03384702373067304,0.0010604886033528937,0.033017501449978025
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,safe_movement_rate,0.17759562841530055,0.17759562841530055,0.0,-0.04295021229787699,0.0016186138547455708,0.04384640328247665
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,20.938325657653596,16.99466952893422,3.9436561287193754,-2.454627616104758,0.4339807798896147,8.62590448174894
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.8224043715846995,0.8224043715846995,0.0,-0.03960411289863787,-0.001617465058040321,0.041923821498470376
leave_one_model_out,0.05,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9275956284153005,0.9002732240437159,0.02732240437158462,-0.011805551608644018,0.025007004937361632,0.08272811462643204
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.16393442622950818,0.11748633879781421,0.04644808743169397,0.010424547121119532,0.04734551927609566,0.0932210202190855
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,movement_per_drift,19.970383311560816,17.863334465270096,2.10704884629072,-15.74544408587439,-4.75657522916324,6.573167563870387
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.8360655737704917,0.8825136612021858,-0.04644808743169404,-0.09171665490472831,-0.046997389033942544,-0.0089891225928187
leave_one_model_out,0.05,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9333333333333332,0.9508196721311476,-0.01748633879781436,-0.05596911783453039,-0.015074103086322954,0.014450342263977092
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,safe_movement_rate,0.16393442622950818,0.0901639344262295,0.07377049180327869,0.03134376663494918,0.07486045990322451,0.11783094087802186
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,movement_per_drift,19.970383311560816,25.638172327657312,-5.667789016096496,-21.653377199343602,-18.148508252712283,3.206860720420361
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,regret_vs_oracle,0.8360655737704917,0.9098360655737704,-0.07377049180327866,-0.11889436835958175,-0.07491026102299014,-0.035248601660708125
leave_one_model_out,0.05,rho_only_vs_shuffled_rho,topk_preservation,0.9333333333333332,0.9562841530054644,-0.022950819672131195,-0.0695455781093437,-0.020628644795995077,0.017990750654582964
leave_one_model_out,0.05,rho_only_vs_random,safe_movement_rate,0.16393442622950818,0.09562841530054644,0.06830601092896174,0.028267663288824463,0.07015466191320391,0.11483000827122881
leave_one_model_out,0.05,rho_only_vs_random,movement_per_drift,19.970383311560816,22.498581482234126,-2.52819817067331,-16.053843139264,-13.139982826230478,4.4157017780961
leave_one_model_out,0.05,rho_only_vs_random,regret_vs_oracle,0.8360655737704917,0.9043715846994536,-0.06830601092896182,-0.11492675590733906,-0.06943201253724808,-0.03092599781183713
leave_one_model_out,0.05,rho_only_vs_random,topk_preservation,0.9333333333333332,0.9494535519125682,-0.016120218579234957,-0.0654838236883691,-0.013342129057426488,0.028904330351086374
leave_one_model_out,0.05,rho_only_vs_highest_entropy,safe_movement_rate,0.16393442622950818,0.02185792349726776,0.14207650273224043,0.10273002649957938,0.1417974784022511,0.18444053362416463
leave_one_model_out,0.05,rho_only_vs_highest_entropy,movement_per_drift,19.970383311560816,12.549220876477817,7.421162435083,-8.655764685884014,-5.337333396444512,15.253554169797376
