split,budget,contrast,metric,policy,control,delta_policy_minus_control,p_value,bh_fdr_q_value
leave_one_model_out,0.1,gradient_plus_rho_learned_vs_gradient_only_learned,movement_per_drift,20.156656745332146,18.79169200553025,1.364964739801895,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.1,gradient_plus_rho_learned_vs_gradient_only_learned,regret_vs_oracle,0.8422496570644719,0.8367626886145404,0.005486968449931462,0.0003999200159968006,0.0009003224480731995
leave_one_model_out,0.1,gradient_plus_rho_learned_vs_gradient_only_learned,topk_preservation,0.9171467764060356,0.9320987654320988,-0.014951989026063206,0.0001999600079984003,0.0005089891112686554
leave_one_model_out,0.1,rho_only_vs_within_example_shuffled_rho,safe_movement_rate,0.15775034293552812,0.1262002743484225,0.03155006858710563,0.024795040991801638,0.037401273953963414
leave_one_model_out,0.1,rho_only_vs_within_example_shuffled_rho,movement_per_drift,19.606993343689005,18.436156306406087,1.1708370372829187,0.020395920815836834,0.03139990558589313
leave_one_model_out,0.1,rho_only_vs_within_example_shuffled_rho,regret_vs_oracle,0.8422496570644719,0.8737997256515775,-0.03155006858710563,0.021995600879824034,0.03363149895618146
leave_one_model_out,0.1,rho_only_vs_within_example_shuffled_rho,topk_preservation,0.9404663923182442,0.9502057613168725,-0.009739368998628262,0.23615276944611077,0.26716272907034755
leave_one_model_out,0.1,rho_only_vs_shuffled_rho,safe_movement_rate,0.15775034293552812,0.1056241426611797,0.052126200274348417,0.1821635672865427,0.2125241618342998
leave_one_model_out,0.1,rho_only_vs_shuffled_rho,movement_per_drift,19.606993343689005,24.511761251640063,-4.904767907951058,0.0629874025194961,0.08348626132761613
leave_one_model_out,0.1,rho_only_vs_shuffled_rho,regret_vs_oracle,0.8422496570644719,0.8943758573388204,-0.052126200274348555,0.17796440711857628,0.20871218426471774
leave_one_model_out,0.1,rho_only_vs_shuffled_rho,topk_preservation,0.9404663923182442,0.9574759945130316,-0.01700960219478731,0.0015996800639872025,0.0032281831921903907
leave_one_model_out,0.1,rho_only_vs_random,safe_movement_rate,0.15775034293552812,0.10013717421124828,0.05761316872427984,0.07978404319136173,0.10241619297916922
leave_one_model_out,0.1,rho_only_vs_random,movement_per_drift,19.606993343689005,20.541282938742388,-0.9342895950533823,0.2419516096780644,0.27234754054214283
leave_one_model_out,0.1,rho_only_vs_random,regret_vs_oracle,0.8422496570644719,0.8998628257887518,-0.057613168724279906,0.08018396320735853,0.10263547290541891
leave_one_model_out,0.1,rho_only_vs_random,topk_preservation,0.9404663923182442,0.9529492455418381,-0.012482853223593882,0.001799640071985603,0.0035517125649759916
