split,fold,budget,policy,test_n,selected_n,safe_movement_rate,safe_varentropy_movement_rate,mean_abs_delta_entropy,mean_abs_delta_varentropy,mean_output_drift,movement_per_drift,top1_preserved_rate,topk_preservation,failure_rate,regret_vs_oracle,minimal_energy_to_target
grouped_example_5fold,fold_1,0.05,within_example_shuffled_rho,1215,61.0,0.09836065573770492,0.11475409836065574,0.04428370893233266,0.07544973011964581,0.0020419105622277735,21.68738913031434,0.9672131147540983,0.9131147540983607,0.9016393442622951,0.9016393442622951,0.0106344262295082
grouped_example_5fold,fold_1,0.05,rho_shuffled_within_entropy_bin,1215,61.0,0.14754098360655737,0.19672131147540983,0.04326188188958446,0.06026982738045401,0.0026398831346070633,16.387801915338887,1.0,0.9098360655737705,0.8524590163934427,0.8524590163934427,0.007820081967213116
grouped_example_5fold,fold_1,0.05,rho_shuffled_within_varentropy_bin,1215,61.0,0.06557377049180328,0.18032786885245902,0.04840012499264663,0.06312640988808589,0.008384668434427056,5.772455449033378,0.9508196721311475,0.9081967213114754,0.9344262295081968,0.9344262295081968,0.011288524590163936
grouped_example_5fold,fold_1,0.05,rho_shuffled_within_gradient_bin,1215,61.0,0.14754098360655737,0.19672131147540983,0.06901324537729653,0.060655627166736475,0.014879414604020844,4.638169391331241,0.9508196721311475,0.8934426229508197,0.8524590163934427,0.8524590163934427,0.009647131147540984
grouped_example_5fold,fold_1,0.05,rho_shuffled_within_fisher_bin,1215,61.0,0.14754098360655737,0.13114754098360656,0.035997158525702525,0.043040789974453805,0.0014827901110923913,24.276637844032383,0.9836065573770492,0.9508196721311475,0.8524590163934427,0.8524590163934427,0.010494262295081968
grouped_example_5fold,fold_1,0.05,controls_only_learned,1215,61.0,0.19672131147540983,0.3114754098360656,0.0796271650836805,0.10972147872372764,0.0051479275533835335,15.467809960018698,1.0,0.8885245901639345,0.8032786885245902,0.8032786885245902,0.011126229508196722
grouped_example_5fold,fold_1,0.05,controls_plus_rho_learned,1215,61.0,0.16393442622950818,0.2786885245901639,0.06809123304096061,0.09821692817848438,0.004426087760652171,15.384067538445638,1.0,0.8557377049180328,0.8360655737704918,0.8360655737704918,0.011126229508196722
grouped_example_5fold,fold_1,0.05,gradient_only_learned,1215,61.0,0.04918032786885246,0.06557377049180328,0.18039298191188927,0.19301438582247538,0.08316330966645298,2.1691414475373807,0.8524590163934426,0.6672131147540984,0.9508196721311475,0.9508196721311475,0.011126229508196722
grouped_example_5fold,fold_1,0.05,gradient_plus_rho_learned,1215,61.0,0.08196721311475409,0.13114754098360656,0.11534031679004118,0.13618425704598322,0.0460921719373664,2.5023840696154327,0.9180327868852459,0.6721311475409836,0.9180327868852459,0.9180327868852459,0.011126229508196722
grouped_example_5fold,fold_1,0.05,oracle,1215,61.0,1.0,0.7704918032786885,0.020990602513480644,0.025111221276830527,0.00010964369680812649,191.4437685388667,1.0,1.0,0.0,0.0,0.0009938524590163936
grouped_example_5fold,fold_1,0.1,random,1215,122.0,0.08196721311475409,0.13934426229508196,0.04611646425078778,0.05508006763124728,0.002898135279521191,15.912460876707872,0.9836065573770492,0.9467213114754098,0.9180327868852459,0.9180327868852459,0.009723975409836067
grouped_example_5fold,fold_1,0.1,highest_entropy,1215,122.0,0.07377049180327869,0.09016393442622951,0.023091150558842165,0.03561492007027446,0.001407746115253932,16.402922592812086,0.9344262295081968,0.9467213114754098,0.9262295081967213,0.9262295081967213,0.010880327868852463
grouped_example_5fold,fold_1,0.1,highest_varentropy,1215,122.0,0.11475409836065574,0.16393442622950818,0.04777937710709738,0.047772036739981406,0.0014897742869898214,32.071554412204605,1.0,0.930327868852459,0.8852459016393442,0.8852459016393442,0.010880327868852463
grouped_example_5fold,fold_1,0.1,lowest_confidence,1215,122.0,0.040983606557377046,0.05737704918032787,0.015582542028370817,0.02168288189194384,0.001421610979991335,10.96118575875504,0.9344262295081968,0.9549180327868853,0.9590163934426229,0.9590163934426229,0.010880327868852463
grouped_example_5fold,fold_1,0.1,highest_gradient_norm,1215,122.0,0.13934426229508196,0.16393442622950818,0.12970362145058295,0.14456341797084887,0.04399514844337929,2.9481346475625245,0.9262295081967213,0.7737704918032787,0.860655737704918,0.860655737704918,0.010880327868852463
grouped_example_5fold,fold_1,0.1,highest_fisher_output_energy,1215,122.0,0.12295081967213115,0.12295081967213115,0.045769802344305076,0.04238176383046104,0.0015728079304066329,29.10069402592075,1.0,0.9918032786885246,0.8770491803278688,0.8770491803278688,0.01172315573770492
grouped_example_5fold,fold_1,0.1,highest_jacobian_norm,1215,122.0,0.1557377049180328,0.10655737704918032,0.04737596151834248,0.033707635506320485,0.0016165484382321738,29.30686170477633,1.0,0.9713114754098361,0.8442622950819672,0.8442622950819672,0.010880327868852463
