model,prompt_id,task,topic,layer,subspace_family,subspace_k,top_k_output,direction,sign,epsilon,rho,abs_delta_entropy,abs_delta_varentropy,directional_success,selected_top1_changed,top5_jaccard,full_vocab_top5_jaccard,full_vocab_top10_jaccard,selected_kl_before_after,candidate_set_kl,candidate_mass_retention_ratio,cluster_distribution_l1,embedding_centroid_delta_norm
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,128,random_control,increase,0.05,0.1190562876532756,0.003682884730372,0.0162089228197822,1,0,1.0,1.0,0.8181818181818182,0.0012742525638324,0.0012742523522874,0.9909783286712776,0.0017825503794638,0.0061933531374737
distilbert-base-uncased,0,ambiguous_open,open,2,delta_pca,8,128,random_control,decrease,0.05,0.1190562876532756,0.0053443170866218,0.0171824278212631,1,0,1.0,1.0,1.0,0.0012257731010787,0.0012257734493322,1.0072927613982678,0.001631757874778,0.005828589860284
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,128,accessible_ls,increase,0.05,0.1083510571994143,0.0119013347884466,0.0444996365089244,1,0,1.0,1.0,1.0,0.0012453295183579,0.0012453292367425,0.9979006900720004,0.0090096755997822,0.0091242691068733
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,128,accessible_ls,decrease,0.05,0.1083510571994143,0.0149120534234157,0.0522460650282556,1,0,1.0,1.0,0.8181818181818182,0.0012534058909928,0.0012534057796438,1.0020659325064707,0.009400055718684,0.0094522074352578
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,128,grad_orthogonal_control,increase,0.05,0.1083510571994143,0.0008961393958539,0.0072327824838358,0,0,1.0,1.0,0.8181818181818182,0.0012402802145303,0.0012402799153941,0.9882129222579312,0.0137849630381657,0.0069264282507029
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,128,grad_orthogonal_control,decrease,0.05,0.1083510571994143,0.0009293814973414,0.0052203450311977,1,0,1.0,1.0,1.0,0.0012583295962773,0.0012583300259555,1.0101004123573911,0.0136986268590156,0.0070630362518215
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,128,random_control,increase,0.05,0.1083510571994143,0.0090935084934891,0.0339028776014364,1,0,1.0,1.0,1.0,0.0012552927898375,0.0012552927043172,0.9941629794631508,0.0112907743695571,0.008009014526148
distilbert-base-uncased,0,ambiguous_open,open,2,random,8,128,random_control,decrease,0.05,0.1083510571994143,0.0116641940098158,0.0395578117639354,1,0,1.0,1.0,0.8181818181818182,0.0012436280837262,0.0012436283174221,1.005748586742705,0.0108107577655519,0.0079924309829539
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,256,accessible_ls,increase,0.05,0.1181207695310509,0.0135392276196908,0.0514361541919908,1,0,1.0,1.0,0.8181818181818182,0.001247988721226,0.0012479885559256,0.9894703183244624,0.0053632591304712,0.0073681047441996
distilbert-base-uncased,0,ambiguous_open,open,2,state_pca,8,256,accessible_ls,decrease,0.05,0.1181207695310509,0.01666560696962,0.0601493529485339,1,0,1.0,1.0,1.0,0.0012512674088591,0.0012512674288732,1.0103798170652054,0.0061826671375263,0.0076541621524752
