model,item_id,task_type,layer,route,rho,rank,objective,correct,confidence,outcome_group
Qwen/Qwen2.5-0.5B,21,logic,12,delta_pca,0.06116281916628945,1,decrease_wrong_confidence,1,0.4287439591486492,correct_unassigned
Qwen/Qwen2.5-0.5B,21,logic,12,random,0.2397144193344107,1,decrease_wrong_confidence,1,0.4287439591486492,correct_unassigned
Qwen/Qwen2.5-0.5B,21,logic,23,state_pca,0.24095526109727178,1,increase_correct_confidence,1,0.4287439591486492,correct_unassigned
Qwen/Qwen2.5-0.5B,21,logic,23,delta_pca,0.6518738865697703,1,increase_correct_confidence,1,0.4287439591486492,correct_unassigned
Qwen/Qwen2.5-0.5B,21,logic,23,random,0.7390943037189446,1,increase_correct_confidence,1,0.4287439591486492,correct_unassigned
Qwen/Qwen2.5-0.5B,22,logic,12,state_pca,0.0027041464547932228,1,decrease_wrong_confidence,0,0.4058283653769597,wrong_unassigned
Qwen/Qwen2.5-0.5B,22,logic,12,delta_pca,0.5693253998673313,1,decrease_wrong_confidence,0,0.4058283653769597,wrong_unassigned
Qwen/Qwen2.5-0.5B,22,logic,12,random,0.5536398597535804,1,decrease_wrong_confidence,0,0.4058283653769597,wrong_unassigned
Qwen/Qwen2.5-0.5B,22,logic,23,state_pca,0.12312099180239562,1,increase_correct_confidence,0,0.4058283653769597,wrong_unassigned
Qwen/Qwen2.5-0.5B,22,logic,23,delta_pca,0.08071643187334063,1,increase_correct_confidence,0,0.4058283653769597,wrong_unassigned
Qwen/Qwen2.5-0.5B,22,logic,23,random,0.03003463685838949,1,increase_correct_confidence,0,0.4058283653769597,wrong_unassigned
Qwen/Qwen2.5-0.5B,23,logic,12,state_pca,0.038835971209814184,1,decrease_wrong_confidence,1,0.7775119473204841,correct_unassigned
Qwen/Qwen2.5-0.5B,23,logic,12,delta_pca,0.834239278422858,1,decrease_wrong_confidence,1,0.7775119473204841,correct_unassigned
Qwen/Qwen2.5-0.5B,23,logic,12,random,0.5973865126902569,1,decrease_wrong_confidence,1,0.7775119473204841,correct_unassigned
Qwen/Qwen2.5-0.5B,23,logic,23,state_pca,0.4982628791922739,1,increase_correct_confidence,1,0.7775119473204841,correct_unassigned
Qwen/Qwen2.5-0.5B,23,logic,23,delta_pca,0.6877795026242611,1,increase_correct_confidence,1,0.7775119473204841,correct_unassigned
Qwen/Qwen2.5-0.5B,23,logic,23,random,0.8560108382482334,1,increase_correct_confidence,1,0.7775119473204841,correct_unassigned
Qwen/Qwen2.5-0.5B,24,trick,12,state_pca,0.04813399063635717,1,decrease_wrong_confidence,0,0.29810798669380784,wrong_unassigned
Qwen/Qwen2.5-0.5B,24,trick,12,delta_pca,0.524350908108752,1,decrease_wrong_confidence,0,0.29810798669380784,wrong_unassigned
Qwen/Qwen2.5-0.5B,24,trick,12,random,0.5311455434611086,1,decrease_wrong_confidence,0,0.29810798669380784,wrong_unassigned
Qwen/Qwen2.5-0.5B,24,trick,23,state_pca,0.5503028024091113,1,decrease_wrong_confidence,0,0.29810798669380784,wrong_unassigned
Qwen/Qwen2.5-0.5B,24,trick,23,delta_pca,0.3860652307429658,1,decrease_wrong_confidence,0,0.29810798669380784,wrong_unassigned
Qwen/Qwen2.5-0.5B,24,trick,23,random,0.19305956663905344,1,decrease_wrong_confidence,0,0.29810798669380784,wrong_unassigned
Qwen/Qwen2.5-0.5B,25,trick,12,state_pca,0.0006344901549020992,1,decrease_wrong_confidence,0,0.38212514441968654,wrong_unassigned
Qwen/Qwen2.5-0.5B,25,trick,12,delta_pca,0.6576796878771263,1,decrease_wrong_confidence,0,0.38212514441968654,wrong_unassigned
Qwen/Qwen2.5-0.5B,25,trick,12,random,0.45657141601900364,1,decrease_wrong_confidence,0,0.38212514441968654,wrong_unassigned
Qwen/Qwen2.5-0.5B,25,trick,23,state_pca,0.052840386556238406,1,decrease_wrong_confidence,0,0.38212514441968654,wrong_unassigned
Qwen/Qwen2.5-0.5B,25,trick,23,delta_pca,0.30570822564310796,1,decrease_wrong_confidence,0,0.38212514441968654,wrong_unassigned
Qwen/Qwen2.5-0.5B,25,trick,23,random,0.4982581273012664,1,decrease_wrong_confidence,0,0.38212514441968654,wrong_unassigned
Qwen/Qwen2.5-0.5B,26,trick,12,state_pca,0.01192770118628679,1,decrease_wrong_confidence,0,0.3381640324331396,wrong_unassigned
Qwen/Qwen2.5-0.5B,26,trick,12,delta_pca,0.508773752539063,1,decrease_wrong_confidence,0,0.3381640324331396,wrong_unassigned
Qwen/Qwen2.5-0.5B,26,trick,12,random,0.39566892925882385,1,decrease_wrong_confidence,0,0.3381640324331396,wrong_unassigned
Qwen/Qwen2.5-0.5B,26,trick,23,state_pca,0.1168731414886369,1,decrease_wrong_confidence,0,0.3381640324331396,wrong_unassigned
Qwen/Qwen2.5-0.5B,26,trick,23,delta_pca,0.44123873750258574,1,decrease_wrong_confidence,0,0.3381640324331396,wrong_unassigned
Qwen/Qwen2.5-0.5B,26,trick,23,random,0.6470490096511501,1,decrease_wrong_confidence,0,0.3381640324331396,wrong_unassigned
Qwen/Qwen2.5-0.5B,27,trick,12,state_pca,0.008891931819198824,1,increase_correct_confidence,1,0.3649365809132282,correct_unassigned
Qwen/Qwen2.5-0.5B,27,trick,12,delta_pca,0.3695980131340714,1,increase_correct_confidence,1,0.3649365809132282,correct_unassigned
Qwen/Qwen2.5-0.5B,27,trick,12,random,0.39486693375932874,1,increase_correct_confidence,1,0.3649365809132282,correct_unassigned
Qwen/Qwen2.5-0.5B,27,trick,23,state_pca,0.03982920641063899,1,increase_correct_confidence,1,0.3649365809132282,correct_unassigned
Qwen/Qwen2.5-0.5B,27,trick,23,delta_pca,0.22850516061459933,1,increase_correct_confidence,1,0.3649365809132282,correct_unassigned
Qwen/Qwen2.5-0.5B,27,trick,23,random,0.26046659066656963,1,increase_correct_confidence,1,0.3649365809132282,correct_unassigned
Qwen/Qwen2.5-0.5B,28,trick,12,state_pca,0.0010345961162834592,1,decrease_wrong_confidence,0,0.3795774929335129,wrong_unassigned
